Entity,Code,Year,Meningitis (deaths),Lower respiratory infections (deaths),Protein-energy malnutrition (deaths),Terrorism ,Cardiovascular,Dementia (deaths),Kidney disease (deaths),Respiratory diseases (deaths),Liver diseases (deaths),Digestive diseases (deaths),Hepatitis (deaths),Cancers,Parkinson disease (deaths),Fire (deaths),Malaria (deaths),Drowning (deaths),Homicide (deaths),HIV/AIDS (deaths),Drug use disorders (deaths),Tuberculosis (deaths),Road injuries (deaths),Maternal disorders (deaths),Neonatal disorders (deaths),Alcohol use disorders (deaths),Natural disasters (deaths),Diarrheal diseases (deaths),Heat (hot and cold exposure) (deaths),Nutritional deficiencies (deaths),Suicide (deaths),Conflict (deaths),Diabetes (deaths),Poisonings (deaths)
Ecuador,ECU,2018,151.094034,5149.096206,544.9354162,0,19679,4970.626294,5738.849899,3386.961373,3456.605276,6155.251037,45.00976998,16097,690.8264216,215.6333845,6.796433622,645.2599088,2315.790609,1093.059483,214.6326923,665.5919252,4464.523039,240.1507198,1937.041467,427.9669798,0,367.587926,58.72266889,634.0097073,1561.758131,0,4388.627762,104.0874209
Egypt,EGY,2018,955.822419,23097.09926,812.1318087,877,232675,9851.870014,13115.03797,19990.46365,44692.44261,50100.6199,976.2426515,48024,1876.072649,2002.416985,0,1570.333365,644.3443851,64.8141545,111.0080301,1016.056306,26945.53571,1316.444964,9413.267723,201.7167355,0,7349.13579,62.14122733,856.7131219,4755.741466,1188.999833,13836.30348,257.0226635
El Salvador,SLV,2018,94.73120955,2525.661422,238.5400624,,9845,2478.947935,4106.588681,1333.282812,1479.662515,2301.891907,15.11586773,5638,301.8870056,49.88543273,0.498229674,258.7918627,3450.702108,727.9515997,61.69917956,89.71296447,1281.856024,43.25643131,514.1035967,945.4734907,0,318.9222836,4.741530251,239.9441906,612.8313966,0,2150.708076,14.59987577
Equatorial Guinea,GNQ,2018,70.01749555,369.1026389,49.90638162,,709,97.53301154,133.9977837,142.39301,148.9781875,264.8981154,7.138398051,519,12.14275039,19.96466365,902.3589752,49.81458096,44.99170837,1752.589431,10.34802213,214.4689162,224.9016457,71.62022281,464.8486579,11.5953046,0,202.046742,3.140720019,51.36694705,66.14299424,0,175.7398992,7.245674281
Eritrea,ERI,2018,927.1892495,3737.066299,1117.37119,,5211,387.899066,640.6338015,1002.514959,1112.135794,2104.072381,123.9495666,3968,60.90069721,175.5214009,9.585015818,241.492524,663.4807762,1520.524088,45.37341809,5071.573307,1286.501487,766.0748487,3012.983533,99.32831716,0,3723.39589,26.37484228,1147.09077,560.6190332,0,905.6397113,82.09145232
Estonia,EST,2018,6.443588399,216.7496843,0.756835495,,7744,1118.358048,268.4817404,292.9734554,292.2186427,601.8648223,0.686116166,3461,120.2199215,56.91421534,0,47.79747971,59.19792804,37.18337477,93.93531757,26.32768695,90.10916349,0.459672763,12.25918711,216.5812582,0,2.561782264,52.01881274,1.561231703,219.5569005,0,120.7943486,8.17039688
Ethiopia,ETH,2018,12539.59043,47564.01103,12350.07331,67,58719,7749.218558,9082.516801,11261.80522,16068.94096,27760.37614,1646.790175,42795,1040.075163,2013.353876,2783.526281,2991.271085,6973.421849,17180.8649,275.845303,35598.27877,9741.876125,7450.546485,68898.7531,791.7080358,115.0000014,58104.58596,845.9148376,12681.27577,5106.071516,1061.000202,11049.22588,1094.226577
Fiji,FJI,2018,22.00197756,312.0492296,15.08758003,,2553,133.2685664,277.5893848,378.1506323,65.66527926,169.0392732,7.14691798,739,23.70107596,31.15887179,0,64.48036564,36.23042544,10.3939541,4.323549357,32.92959119,84.43154865,11.80623271,174.5932653,1.93872529,0,86.14027094,3.294056127,15.72169221,85.44122599,0,1578.421485,4.442956172
Finland,FIN,2018,18.77793941,713.2655399,3.93126801,2,21359,8545.831386,569.3733631,1783.786875,1177.543606,2416.306105,2.310270185,13089,681.6441183,73.44977048,0,116.3885155,87.25687484,6.482667213,288.7639004,57.26463768,289.2967441,2.013616528,45.94083272,598.4975202,0,47.50447686,103.7495125,11.79984415,868.2429676,0,390.1457814,17.82626249
France,FRA,2018,261.508532,20732.38891,2761.588213,7,155683,70567.33723,9279.433246,20916.52118,10621.08563,27349.86283,83.06637827,182241,7686.458813,1210.682304,0,1042.017582,545.0259355,491.2097722,1971.336813,1009.69259,4052.97841,52.4196975,1233.43964,3627.050004,1,1205.318397,689.872274,3014.693171,11067.42792,0,10578.62874,262.8358774
Gabon,GAB,2018,106.2540005,755.6487074,75.21396799,0,2230,264.2606666,296.384308,292.4736731,421.4412996,600.9923859,15.99534038,1240,35.08555074,35.28321142,704.829651,70.90238731,81.00269404,643.7168049,25.15419325,569.4004538,434.5566883,81.69042943,630.1705036,27.22702985,0,351.2065409,8.147025352,78.7198846,158.145742,0,446.8993533,13.90369016
